1	181
2	141
3	145
4	122
5	176
6	174
7	104
8	191
9	177
10	113
11	140
12	105
13	124
14	142
15	197
16	113
17	137
18	199
19	138
20	165
21	122
22	153
23	176
24	130
25	108
26	181
27	103
28	113
29	157
30	140
31	185
32	117
33	187
34	129
35	117
36	170
37	148
38	197
39	151
40	129
41	187
42	135
43	138
44	174
45	141
46	170
47	145
48	102
49	164
50	193
51	135
52	103
53	127
54	162
55	107
56	146
57	153
58	119
59	154
60	137
61	172
62	112
63	111
64	111
65	105
66	162
67	109
68	196
69	148
70	138
71	108
72	112
73	128
74	173
75	161
76	136
77	158
78	184
79	134
80	200
81	167
82	116
83	139
84	194
85	180
86	118
87	158
88	180
89	190
90	164
91	197
92	104
93	116
94	130
95	194
96	168
97	113
98	135
99	109
100	168
101	103
102	111
103	102
104	180
105	175
106	141
107	101
108	187
109	197
110	124
111	139
112	125
113	101
114	186
115	114
116	131
117	199
118	177
119	160
120	164
121	143
122	103
123	132
124	135
125	166
126	169
127	129
128	113
129	107
130	104
131	149
132	182
133	163
134	125
135	194
136	111
137	166
138	124
139	119
140	132
141	160
142	147
143	179
144	144
145	177
146	141
147	176
148	106
149	136
150	154
151	123
152	132
153	131
154	121
155	162
156	120
157	139
158	108
159	176
160	199
161	149
162	189
163	159
164	153
165	150
166	184
167	131
168	155
169	100
170	121
171	119
172	168
173	155
174	128
175	138
176	118
177	151
178	114
179	105
180	106
181	193
182	178
183	151
184	139
185	170
186	118
187	154
188	144
189	134
190	164
191	169
192	132
193	104
194	167
195	149
196	144
197	110
198	187
199	123
200	105
201	149
202	113
203	109
204	143
205	195
206	133
207	187
208	183
209	139
210	164
211	182
212	155
213	104
214	183
215	182
216	160
217	166
218	138
219	174
220	149
221	122
222	187
223	134
224	153
225	195
226	192
227	158
228	176
229	166
230	166
231	189
232	115
233	143
234	142
235	171
236	112
237	142
238	119
239	187
240	130
241	127
242	138
243	113
244	169
245	132
246	108
247	165
248	199
249	170
250	106
251	142
252	100
253	157
254	103
255	105
256	156
257	128
258	183
259	188
260	159
261	140
262	144
263	162
264	200
265	109
266	125
267	135
268	113
269	190
270	129
271	154
272	188
273	108
274	152
275	162
276	150
277	101
278	145
279	112
280	177
281	187
282	186
283	110
284	147
285	103
286	184
287	117
288	107
289	108
290	142
291	165
292	172
293	198
294	198
295	155
296	162
297	138
298	180
299	193
300	101
301	165
302	112
303	183
304	191
305	174
306	138
307	107
308	131
309	114
310	178
311	189
312	161
313	156
314	179
315	105
316	156
317	140
318	105
319	187
320	148
321	185
322	193
323	131
324	175
325	114
326	165
327	178
328	162
329	177
330	136
331	110
332	198
333	174
334	161
335	110
336	161
337	117
338	170
339	145
340	109
341	151
342	166
343	105
344	136
345	174
346	150
347	113
348	200
349	105
350	100
351	126
352	130
353	200
354	133
355	122
356	160
357	145
358	175
359	156
360	181
361	121
362	112
363	157
364	190
365	118
366	140
367	157
368	125
369	147
370	140
371	116
372	135
373	135
374	106
375	149
376	170
377	168
378	164
379	104
380	119
381	136
382	200
383	119
384	110
385	102
386	134
387	141
388	102
389	144
390	101
391	178
392	120
393	161
394	190
395	176
396	104
397	183
398	118
399	109
400	111
401	134
402	134
403	165
404	125
405	102
406	176
407	170
408	125
409	138
410	109
411	116
412	178
413	135
414	149
415	183
416	140
417	117
418	152
419	137
420	129
421	127
422	131
423	194
424	153
425	168
426	199
427	144
428	199
429	137
430	188
431	198
432	168
433	103
434	105
